Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Distance,Total Descent,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Pilates,3/23/2023 08:43,FALSE,Pilates,0,120,00:33:39,98,119,0.5,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,33:38.6,1,0,0,--,00:33:39,00:33:39,--,--
Pilates,6/28/2023 07:51,FALSE,Pilates,0,121,00:48:29,83,111,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,48:28.8,1,0,0,--,00:48:29,00:48:29,--,--
Pilates,6/27/2023 07:57,FALSE,Pilates,0,121,00:42:30,88,117,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,42:29.8,1,0,0,--,00:42:30,00:42:30,--,--
Pilates,11/30/2023 07:54,FALSE,Pilates,0,122,00:43:49,85,105,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,43:49.4,1,0,0,--,00:43:49,00:47:17,--,--
Pilates,2/21/2022 08:29,FALSE,Pilates,0,122,00:46:33,86,138,0.8,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,46:33.4,1,0,0,--,00:46:33,00:46:37,--,--
Pilates,12/14/2023 12:14,FALSE,Pilates,0,123,00:45:47,84,107,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,45:47.3,1,0,0,--,00:45:47,00:45:47,--,--
Pilates,3/26/2023 08:19,FALSE,Pilates,0,123,00:44:17,88,113,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,44:16.6,1,0,0,--,00:44:17,00:44:17,--,--
Pilates,11/18/2023 08:20,FALSE,Pilates,0,124,00:48:09,84,114,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,48:09.4,1,0,0,--,00:48:09,00:48:09,--,--
Pilates,12/20/2021 09:19,FALSE,Pilates,0,124,00:43:23,89,118,0.7,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,43:22.8,1,0,0,--,00:43:23,00:43:23,--,--
Pilates,1/22/2024 15:22,FALSE,Pilates,0,125,00:46:36,83,109,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,46:35.7,1,0,0,--,00:46:36,01:16:40,--,--
Pilates,5/26/2023 10:03,FALSE,Pilates,0,125,00:38:24,93,121,0.4,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,38:23.7,1,0,0,--,00:38:24,00:38:24,--,--
Pilates,10/3/2023 09:01,FALSE,Pilates,0,126,00:50:50,83,110,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,50:50.1,1,0,0,--,00:50:50,00:50:50,--,--
Pilates,9/11/2023 08:13,FALSE,Pilates,0,126,00:42:50,90,113,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,42:49.8,1,0,0,--,00:42:50,00:42:50,--,--
Pilates,9/30/2023 07:48,FALSE,Pilates,0,127,00:53:51,82,109,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,53:51.2,1,0,0,--,00:53:51,00:53:51,--,--
Pilates,5/16/2023 09:02,FALSE,Pilates,0,127,00:47:05,86,127,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,47:05.4,1,0,0,--,00:47:05,00:47:05,--,--
Pilates,9/29/2023 08:52,FALSE,Pilates,0,128,00:52:58,83,113,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,52:57.6,1,0,0,--,00:52:58,00:52:58,--,--
Pilates,5/30/2023 08:37,FALSE,Pilates,0,129,00:47:12,87,118,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,47:12.3,1,0,0,--,00:47:12,00:47:12,--,--
Pilates,5/6/2023 07:57,FALSE,Pilates,0,129,01:09:18,75,120,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,09:17.8,1,0,0,--,01:09:18,01:09:18,--,--
Pilates,12/13/2021 08:11,FALSE,Pilates,0,129,00:49:32,86,117,0.4,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,49:31.8,1,0,0,--,00:49:32,00:54:19,--,--
Pilates,1/14/2024 11:34,FALSE,Pilates,0,130,00:57:54,78,102,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,57:54.2,1,0,0,--,00:57:54,01:01:00,--,--
Pilates,6/3/2023 10:06,FALSE,Pilates,0,130,00:48:12,86,119,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,48:12.1,1,0,0,--,00:48:12,00:48:12,--,--
Pilates,3/30/2023 08:38,FALSE,Pilates,0,131,00:45:51,89,114,0.3,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,45:51.3,1,0,0,--,00:45:51,00:45:51,--,--
Pilates,2/20/2024 08:05,FALSE,Pilates,0,132,00:45:11,87,113,0.2,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,45:10.8,1,0,0,--,00:45:11,00:48:53,--,--
Pilates,1/16/2024 08:16,FALSE,Pilates,0,132,00:53:30,81,104,0.1,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,--,1,00:00,0,00:00,No,53:30.5,1,0,0,--,00:53:30,00:53:30,--,--
